run_name,hyper_param,mvtec_carpet_data,mvtec_grid_data,mvtec_leather,mvtec_tile_data,mvtec_wood_data,mvtec_bottle_data,mvtec_cable_data,mvtec_capsule_data,mvtec_hazelnut_data,mvtec_metal_nut_data,mvtec_pill,mvtec_screw_data,mvtec_transistor_data,mvtec_zipper_data,average,mv_infer
MVRec-mso-EchoClassfierF-ks1-acti1,"{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}",0.8045,0.502,0.8318,0.9667,0.7086,0.575,0.7825,0.5661,0.7714,0.732,0.7161,0.6633,0.8857,0.8049,0.7365,1
MVRec-mso-EchoClassfierF-ks1-acti1,"{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}",0.7318,0.449,0.7273,0.9048,0.6657,0.5375,0.6456,0.5208,0.6857,0.648,0.5975,0.6267,0.7429,0.6317,0.6511,0
MVRec-mso-EchoClassfierF-ks3-acti1,"{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}",0.8455,0.7306,0.9091,0.9762,0.8943,0.7625,0.9263,0.7472,0.8057,0.852,0.8148,0.89,0.9905,0.9024,0.8605,1
MVRec-mso-EchoClassfierF-ks3-acti1,"{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}",0.85,0.6082,0.8409,0.9381,0.8486,0.7063,0.8,0.6717,0.7429,0.768,0.7333,0.7733,0.9238,0.7268,0.7809,0
MVRec-mso-EchoClassfierF-ks5-acti1,"{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 5, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}",0.8636,0.8081,0.9136,0.9762,0.9571,0.7875,0.9369,0.834,0.8743,0.928,0.8593,0.9,1.0,0.9195,0.897,1
MVRec-mso-EchoClassfierF-ks5-acti1,"{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 5, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}",0.8409,0.649,0.8318,0.9714,0.9114,0.6938,0.8631,0.7434,0.7886,0.848,0.7531,0.8233,0.9524,0.7781,0.8177,0
